item:2730	 basic_error:5.623683549914327e-08	 block_error:5.623683549914327e-08
item:7102	 basic_error:5.5906422264718515e-08	 block_error:5.5906422264718515e-08
item:1010	 basic_error:5.559820528153268e-08	 block_error:5.559820528153268e-08
item:368	 basic_error:5.447552594195666e-08	 block_error:5.447552594195666e-08
item:1907	 basic_error:5.438601459006702e-08	 block_error:5.438601459006702e-08
item:7453	 basic_error:5.1321481832626754e-08	 block_error:5.1321481832626754e-08
item:4583	 basic_error:5.2490880034705353e-08	 block_error:5.2490880034705353e-08
item:1847	 basic_error:5.089141695265118e-08	 block_error:5.089141695265118e-08
item:5369	 basic_error:5.086524828385678e-08	 block_error:5.086524828385678e-08
item:7420	 basic_error:5.2867540856378625e-08	 block_error:5.2867540856378625e-08
item:3947	 basic_error:None	 block_error:None
item:3164	 basic_error:None	 block_error:None
item:7446	 basic_error:5.2374569824002216e-08	 block_error:5.2374569824002216e-08
item:2794	 basic_error:5.0838348831031e-08	 block_error:5.0838348831031e-08
item:3215	 basic_error:4.95637520616472e-08	 block_error:4.95637520616472e-08
item:5346	 basic_error:4.9360262558946835e-08	 block_error:4.9360262558946835e-08
item:7223	 basic_error:4.9363760240258084e-08	 block_error:4.9363760240258084e-08
item:630	 basic_error:4.871348971413874e-08	 block_error:4.871348971413874e-08
item:4417	 basic_error:4.8048405534026686e-08	 block_error:4.8048405534026686e-08
item:4955	 basic_error:4.7991533602600306e-08	 block_error:4.7991533602600306e-08
item:2902	 basic_error:4.704511249477555e-08	 block_error:4.704511249477555e-08
item:5671	 basic_error:4.6986750487816586e-08	 block_error:4.6986750487816586e-08
item:5833	 basic_error:4.6081699730821796e-08	 block_error:4.6081699730821796e-08
item:3208	 basic_error:4.870747292409945e-08	 block_error:4.870747292409945e-08
item:8096	 basic_error:4.6502244397728966e-08	 block_error:4.6502244397728966e-08
item:5553	 basic_error:4.6996256020895993e-08	 block_error:4.6996256020895993e-08
item:758	 basic_error:4.590896129799769e-08	 block_error:4.590896129799769e-08
item:5769	 basic_error:4.488098023466055e-08	 block_error:4.488098023466055e-08
item:3204	 basic_error:4.6693233655558004e-08	 block_error:4.6693233655558004e-08
item:6301	 basic_error:4.63606084986478e-08	 block_error:4.63606084986478e-08
item:8194	 basic_error:4.5176112354575367e-08	 block_error:4.5176112354575367e-08
