item:2730	 basic_error:-3.538570363006803e-08	 block_error:-3.538570363006803e-08
item:7102	 basic_error:-3.47423564008454e-08	 block_error:-3.47423564008454e-08
item:1010	 basic_error:-3.4541553045781825e-08	 block_error:-3.4541553045781825e-08
item:368	 basic_error:-3.396444233586676e-08	 block_error:-3.396444233586676e-08
item:1907	 basic_error:-3.376568607268288e-08	 block_error:-3.376568607268288e-08
item:7453	 basic_error:-3.317359581435017e-08	 block_error:-3.317359581435017e-08
item:4583	 basic_error:-3.316686417870196e-08	 block_error:-3.316686417870196e-08
item:7420	 basic_error:-3.292459073694215e-08	 block_error:-3.292459073694215e-08
item:1847	 basic_error:-3.276281802105929e-08	 block_error:-3.276281802105929e-08
item:3164	 basic_error:-3.2654078256253924e-08	 block_error:-3.2654078256253924e-08
item:7446	 basic_error:-3.2631561740041615e-08	 block_error:-3.2631561740041615e-08
item:5369	 basic_error:-3.2615757943835894e-08	 block_error:-3.2615757943835894e-08
item:3947	 basic_error:-3.2472904863993166e-08	 block_error:-3.2472904863993166e-08
item:2794	 basic_error:-3.2123148850995986e-08	 block_error:-3.2123148850995986e-08
item:3215	 basic_error:-3.1662303503002254e-08	 block_error:-3.1662303503002254e-08
item:5346	 basic_error:-3.161145309708499e-08	 block_error:-3.161145309708499e-08
item:7223	 basic_error:-3.147446995892776e-08	 block_error:-3.147446995892776e-08
item:630	 basic_error:-3.1317345470160615e-08	 block_error:-3.1317345470160615e-08
item:4417	 basic_error:-3.106698499562126e-08	 block_error:-3.106698499562126e-08
item:4955	 basic_error:-3.0774326557556075e-08	 block_error:-3.0774326557556075e-08
item:3208	 basic_error:-3.0767276696210336e-08	 block_error:-3.0767276696210336e-08
item:2902	 basic_error:-3.058485557871915e-08	 block_error:-3.058485557871915e-08
item:5671	 basic_error:-3.0520187732554355e-08	 block_error:-3.0520187732554355e-08
item:5833	 basic_error:-3.0300034128656964e-08	 block_error:-3.0300034128656964e-08
item:5553	 basic_error:-3.0238834567396233e-08	 block_error:-3.0238834567396233e-08
item:8096	 basic_error:-3.018052792966644e-08	 block_error:-3.018052792966644e-08
item:3204	 basic_error:-3.013849396698437e-08	 block_error:-3.013849396698437e-08
item:6301	 basic_error:-3.00688310060377e-08	 block_error:-3.00688310060377e-08
item:758	 basic_error:-3.0047066356276436e-08	 block_error:-3.0047066356276436e-08
item:5769	 basic_error:-2.983208248551021e-08	 block_error:-2.983208248551021e-08
item:8194	 basic_error:-2.9816418842384604e-08	 block_error:-2.9816418842384604e-08
item:4957	 basic_error:-2.9805690385741566e-08	 block_error:-2.9805690385741566e-08
item:7938	 basic_error:-2.9659219058812344e-08	 block_error:-2.9659219058812344e-08
item:8060	 basic_error:-2.965770397756612e-08	 block_error:-2.965770397756612e-08
item:5584	 basic_error:-2.9569268189359732e-08	 block_error:-2.9569268189359732e-08
item:6568	 basic_error:-2.9527519311025284e-08	 block_error:-2.9527519311025284e-08
item:7250	 basic_error:-2.9506472748203755e-08	 block_error:-2.9506472748203755e-08
item:1430	 basic_error:-2.9483374960957535e-08	 block_error:-2.9483374960957535e-08
item:3185	 basic_error:-2.943720798847735e-08	 block_error:-2.943720798847735e-08
item:2737	 basic_error:-2.9349670421113284e-08	 block_error:-2.9349670421113284e-08
item:150	 basic_error:-2.9290852332042143e-08	 block_error:-2.9290852332042143e-08
item:3751	 basic_error:-2.9284466267730236e-08	 block_error:-2.9284466267730236e-08
item:5099	 basic_error:-2.904296794910017e-08	 block_error:-2.904296794910017e-08
item:2944	 basic_error:-2.88343699069403e-08	 block_error:-2.88343699069403e-08
item:7872	 basic_error:-2.8809298570331952e-08	 block_error:-2.8809298570331952e-08
item:2639	 basic_error:-2.877509641088967e-08	 block_error:-2.877509641088967e-08
item:5074	 basic_error:-2.8750617828750963e-08	 block_error:-2.8750617828750963e-08
item:6648	 basic_error:-2.8712074521966904e-08	 block_error:-2.8712074521966904e-08
item:1034	 basic_error:-2.8709581201312798e-08	 block_error:-2.8709581201312798e-08
item:229	 basic_error:-2.8694900310695035e-08	 block_error:-2.8694900310695035e-08
item:4222	 basic_error:-2.864223435121091e-08	 block_error:-2.864223435121091e-08
item:7406	 basic_error:-2.858526597674868e-08	 block_error:-2.858526597674868e-08
item:2464	 basic_error:-2.858369960428292e-08	 block_error:-2.858369960428292e-08
