[2730]	[0.00041282433908091526]
[7102]	[0.0004046208009323884]
[1010]	[0.00040229216337911124]
[368]	[0.0003957990162627567]
[1907]	[0.00039328551121010116]
[7453]	[0.00038857506790613856]
[4583]	[0.00038726651059631684]
[7420]	[0.0003836929638690904]
[1847]	[0.00038353346100997453]
[5369]	[0.0003816397477831298]
[3164]	[0.00038121065476003736]
[7446]	[0.0003802967190110582]
[3947]	[0.000379852022562603]
[2794]	[0.000375164125622594]
[3215]	[0.00037035777917705895]
[5346]	[0.0003698980634195211]
[7223]	[0.00036808341764795903]
[630]	[0.0003666677601682309]
[4417]	[0.0003640358829842438]
[4955]	[0.00036023313846571026]
[3208]	[0.00035939954700873263]
[2902]	[0.0003586954296905321]
[5671]	[0.00035789543548806873]
[5833]	[0.000355911051712202]
[5553]	[0.000354158241423461]
[8096]	[0.00035389531259572037]
[3204]	[0.0003531217160446043]
[758]	[0.0003527292932503799]
[6301]	[0.00035255924860949915]
[5769]	[0.00035093954637781526]
[8194]	[0.00035043611565978717]
[4957]	[0.0003494615888699179]
[8060]	[0.0003486717619261256]
[7938]	[0.0003474773957805088]
[5584]	[0.0003471398753042102]
[6568]	[0.00034691850886834773]
[1430]	[0.00034685952699835477]
[7250]	[0.00034629269860438305]
[3185]	[0.00034588387988196124]
[2737]	[0.0003438860178584103]
[3751]	[0.00034368186991501056]
[150]	[0.0003436774236715931]
[5099]	[0.0003415037637426346]
[2944]	[0.00033966947433756566]
[7872]	[0.000338755726438264]
[2639]	[0.00033807377203074146]
[5074]	[0.0003380618125307002]
[1034]	[0.0003376110873502998]
[229]	[0.0003373053366460965]
[6648]	[0.00033714143134301947]
[4222]	[0.00033630212339676705]
[7406]	[0.0003360165963348455]
[2464]	[0.00033587294972497816]
[3578]	[0.0003357870269919459]
[930]	[0.0003354034200677944]
[6777]	[0.00033534981663420576]
[2484]	[0.00033379386627545413]
[4944]	[0.0003319837595642172]
[1197]	[0.00033136770815767595]
[3221]	[0.00033100930399847364]
[2041]	[0.00033078491302050564]
[7579]	[0.0003304503358116618]
[6787]	[0.0003303032207976554]
[6530]	[0.0003299368650046104]
[8112]	[0.0003297983979149534]
[6005]	[0.0003296230421831934]
[6190]	[0.00032949129259354836]
[5655]	[0.00032916254176732526]
[251]	[0.0003286631448906282]
[3951]	[0.00032826891913460696]
[8018]	[0.00032800722063648885]
[233]	[0.00032770366494817973]
[2589]	[0.000327456060005027]
[5996]	[0.00032740804974871416]
[482]	[0.00032726664092844914]
[972]	[0.0003269221918130775]
[7499]	[0.0003251463299596993]
[7442]	[0.0003249941020700951]
[1173]	[0.0003247756697392478]
[2369]	[0.0003244976223719573]
[6315]	[0.0003237046131546187]
[5129]	[0.000323609992518413]
[7784]	[0.00032351048808407283]
[5998]	[0.00032340697263353956]
[4692]	[0.0003233096604863568]
[4255]	[0.0003232924799690743]
[6692]	[0.0003230845420626197]
[4832]	[0.00032290661062145897]
[5275]	[0.0003220745575777657]
[5376]	[0.00032178997535217853]
[2232]	[0.0003208557173768005]
[6928]	[0.00032050665201050686]
[260]	[0.00031990344679963116]
[1677]	[0.0003198552644366056]
[6847]	[0.0003191030503958764]
[6883]	[0.00031887509026674827]
[7702]	[0.0003188568111771673]
[1798]	[0.0003184657003529085]
[4681]	[0.00031797105053507104]
[2664]	[0.0003176045238189754]
