[2730]	[0.0005736574599413169]
[7102]	[0.0005606515254483292]
[1010]	[0.0005575261948551196]
[368]	[0.0005491952179174205]
[1907]	[0.000545337410893391]
[7453]	[0.0005442068008409022]
[4583]	[0.0005393645625792284]
[1847]	[0.000536578817681179]
[5369]	[0.0005336119524345916]
[7420]	[0.0005326904643413156]
[3947]	[0.0005308853660242946]
[3164]	[0.0005308842934838704]
[7446]	[0.0005280350471286407]
[2794]	[0.0005230052845690128]
[3215]	[0.0005177722775747331]
[5346]	[0.0005174816946097284]
[7223]	[0.0005144696058101829]
[630]	[0.0005135437419956871]
[4417]	[0.0005106418873776817]
[4955]	[0.0005045152896843546]
[2902]	[0.0005040492789140553]
[5671]	[0.000502831799609422]
[5833]	[0.0005015419140352481]
[3208]	[0.0005015246820250928]
[8096]	[0.0004972535934157046]
[5553]	[0.0004965916720605322]
[758]	[0.0004965893016424745]
[5769]	[0.0004958889200141276]
[3204]	[0.0004954496134624082]
[6301]	[0.0004953398022410721]
[8194]	[0.0004944369676330543]
[8060]	[0.0004922318552549133]
[4957]	[0.0004910884078676252]
[1430]	[0.0004902728758372459]
[6568]	[0.0004892468140688872]
[5584]	[0.0004888733226532671]
[3185]	[0.00048786356991604665]
[7938]	[0.0004876569028245228]
[7250]	[0.0004875154808904052]
[3751]	[0.0004838490612038739]
[150]	[0.00048369425030875095]
[2737]	[0.0004827813816436807]
[5099]	[0.0004823251099165244]
[2944]	[0.0004813118162395567]
[7872]	[0.0004785639269336803]
[5074]	[0.0004775887374878932]
[1034]	[0.0004770230861472283]
[2639]	[0.0004769780546243019]
[229]	[0.00047631924715855654]
[3578]	[0.00047527057548990955]
[6648]	[0.000475261047583381]
[930]	[0.0004749506074492761]
[7406]	[0.00047451223237901605]
[4222]	[0.00047404517062410814]
[6777]	[0.0004740383647566905]
[2464]	[0.00047399664612419155]
[2041]	[0.0004701572182515857]
[2484]	[0.0004698903387808785]
[4944]	[0.0004687874910776466]
[1197]	[0.00046849818588382073]
[7579]	[0.0004684387434889194]
[8112]	[0.00046836075977506217]
[3221]	[0.00046827809014949337]
[6005]	[0.00046814589250191997]
[6190]	[0.0004675450833986974]
[6530]	[0.0004672376846301147]
[5655]	[0.0004667331939824012]
[251]	[0.00046628679683573124]
[6787]	[0.00046583449908790304]
[8018]	[0.00046419338278665156]
[233]	[0.00046377967857094525]
[482]	[0.00046375713195054774]
[2589]	[0.0004634993579990239]
[5996]	[0.000463307954341675]
[972]	[0.00046301879328237603]
[3951]	[0.0004616323404929493]
[7442]	[0.00046074892951856403]
[5998]	[0.00046071683589175275]
[2369]	[0.00046049909317390155]
[7499]	[0.00045954548170166126]
[4692]	[0.0004595323322402021]
[6315]	[0.0004593780210017653]
[1173]	[0.00045932487791783104]
[6692]	[0.00045912743325991843]
[5376]	[0.0004586632335020418]
[4255]	[0.00045818075183742753]
[7784]	[0.0004581595253434293]
[5129]	[0.0004580530334291708]
[4832]	[0.00045697426785398245]
[5275]	[0.00045687097722349197]
[2232]	[0.0004541647225798622]
[260]	[0.00045382910498543874]
[6847]	[0.00045378943758357177]
[2664]	[0.00045367230429801237]
[7702]	[0.00045366993796059176]
[6928]	[0.00045339937036685296]
[6883]	[0.00045273844280690193]
[1798]	[0.0004526477583791943]
[5808]	[0.00045263912879057766]
[1677]	[0.0004525393644959864]
