[2730]	[0.001155877920964656]
[7102]	[0.0011348496124654703]
[1010]	[0.0011282900056042444]
[368]	[0.0011094423366000126]
[1907]	[0.0011029454462456254]
[7453]	[0.0010836449758296865]
[4583]	[0.0010834027269957772]
[7420]	[0.0010754741740776272]
[1847]	[0.0010702226793615171]
[3164]	[0.001066650439921661]
[7446]	[0.0010659028560392977]
[5369]	[0.0010654148271434637]
[3947]	[0.0010607458841871175]
[2794]	[0.0010493090450890614]
[3215]	[0.0010342656817252224]
[5346]	[0.0010326069361633143]
[7223]	[0.0010281281009869802]
[630]	[0.0010230031773150235]
[4417]	[0.0010148301093948254]
[4955]	[0.0010052624522651108]
[3208]	[0.0010050183631499514]
[2902]	[0.0009990855613453186]
[5671]	[0.0009969723274504527]
[5833]	[0.000989791450492997]
[5553]	[0.0009877731175246076]
[8096]	[0.0009858761277812317]
[3204]	[0.000984498260866885]
[6301]	[0.0009822268144077956]
[758]	[0.0009815238256441591]
[5769]	[0.0009745143236186343]
[8194]	[0.0009739965395473974]
[4957]	[0.0009736297803885686]
[7938]	[0.000968840341782502]
[8060]	[0.0009688135045448393]
[5584]	[0.0009659156734412643]
[6568]	[0.0009645565593721693]
[7250]	[0.0009638614525376861]
[1430]	[0.0009631230075800728]
[3185]	[0.0009616068482504668]
[2737]	[0.0009587287854204216]
[150]	[0.0009568159721693091]
[3751]	[0.0009566092388943994]
[5099]	[0.0009487330993400613]
[2944]	[0.000941929668927011]
[7872]	[0.0009410989702342965]
[2639]	[0.0009399760834460413]
[5074]	[0.0009391819087492966]
[6648]	[0.0009379133237397087]
[1034]	[0.0009378420732373217]
[229]	[0.0009373595871113197]
[4222]	[0.0009356314790326292]
[7406]	[0.0009337781706678003]
[2464]	[0.000933724821253589]
[3578]	[0.0009318853759752081]
[6777]	[0.0009313676219109536]
[930]	[0.0009306075188440045]
[2484]	[0.0009293421962011152]
[4944]	[0.0009226938200422072]
[1197]	[0.0009203792387661903]
[3221]	[0.0009191341414819495]
[6787]	[0.000918740191083873]
[7579]	[0.0009164648904131]
[2041]	[0.0009158655308890316]
[6530]	[0.0009155857487796581]
[3951]	[0.0009147095675883674]
[8112]	[0.0009135965197789851]
[6190]	[0.0009132727275532717]
[6005]	[0.0009131358658509634]
[5655]	[0.0009127469056487177]
[251]	[0.0009110593432955399]
[8018]	[0.0009106509099654299]
[233]	[0.0009097675391236653]
[5996]	[0.0009090687384583513]
[2589]	[0.0009090452200091105]
[482]	[0.0009078640357570275]
[972]	[0.0009072091849356774]
[7499]	[0.0009034732489767896]
[1173]	[0.0009020822424360473]
[7442]	[0.0009014083825050883]
[2369]	[0.000899539039606899]
[5129]	[0.0008984575363741201]
[7784]	[0.0008979133062961734]
[6315]	[0.0008973643624833873]
[4255]	[0.0008969305750208224]
[4832]	[0.0008965917334046576]
[4692]	[0.0008954518819274664]
[6692]	[0.0008949485254672872]
[5998]	[0.0008944368896662518]
[5275]	[0.0008931610628669472]
[2232]	[0.0008908453675991018]
[6928]	[0.0008902021982392008]
[5376]	[0.0008898033635814524]
[1677]	[0.0008883961390286467]
[260]	[0.000887105160299938]
[6883]	[0.0008838320560495184]
[6847]	[0.0008836227754684872]
[7702]	[0.0008826517062891049]
[1798]	[0.0008821289214437474]
[4681]	[0.0008811982894899722]
[6439]	[0.0008805242969940549]
