[2730]	[0.0011565538807521158]
[7102]	[0.0011355175170602776]
[1010]	[0.0011289542056783781]
[368]	[0.0011100943532596165]
[1907]	[0.0011035951295986347]
[7453]	[0.0010842705679606256]
[4583]	[0.0010840352827217196]
[7420]	[0.0010761067962000036]
[1847]	[0.0010708417348843538]
[3164]	[0.0010672738820778137]
[7446]	[0.0010665297111971696]
[5369]	[0.0010660324152581067]
[3947]	[0.001061361593849855]
[2794]	[0.0010499219221294688]
[3215]	[0.0010348665208912916]
[5346]	[0.0010332060825025875]
[7223]	[0.0010287259962225477]
[630]	[0.0010235956693685892]
[4417]	[0.0010154162453467955]
[4955]	[0.0010058455477160667]
[3208]	[0.001005605709120465]
[2902]	[0.0009996611658353463]
[5671]	[0.000997546966933147]
[5833]	[0.0009903585678448941]
[5553]	[0.000988345184549727]
[8096]	[0.0009864446679962286]
[3204]	[0.0009850675138706549]
[6301]	[0.0009827934520249709]
[758]	[0.0009820875144045684]
[5769]	[0.0009750697931488554]
[8194]	[0.0009745536655419006]
[4957]	[0.0009741919123589272]
[7938]	[0.0009694012363325722]
[8060]	[0.0009693671580634585]
[5584]	[0.0009664705120901438]
[6568]	[0.0009651091433428932]
[7250]	[0.0009644160815335151]
[1430]	[0.0009636720687681259]
[3185]	[0.0009621576062367791]
[2737]	[0.0009592838208526898]
[150]	[0.0009573671983878075]
[3751]	[0.0009571597321401512]
[5099]	[0.000949274998815581]
[2944]	[0.0009424642850607322]
[7872]	[0.0009416368500225084]
[2639]	[0.0009405151301570336]
[5074]	[0.0009397187489999697]
[6648]	[0.0009384525034758534]
[1034]	[0.0009383779232723669]
[229]	[0.0009378961079231228]
[4222]	[0.0009361694874606001]
[7406]	[0.0009343126602382563]
[2464]	[0.0009342599687386096]
[3578]	[0.0009324160426020128]
[6777]	[0.0009318994509757905]
[930]	[0.0009311371308856462]
[2484]	[0.0009298779275670408]
[4944]	[0.0009232223953270583]
[1197]	[0.0009209053679931163]
[3221]	[0.0009196592603610207]
[6787]	[0.0009192681376927043]
[7579]	[0.0009169859970247257]
[2041]	[0.0009163827318425557]
[6530]	[0.0009161075224608963]
[3951]	[0.0009152389185948113]
[8112]	[0.0009141134333148811]
[6190]	[0.0009137908617613343]
[6005]	[0.0009136527599214828]
[5655]	[0.0009132655236956311]
[251]	[0.0009115763271362921]
[8018]	[0.0009111708963158834]
[233]	[0.0009102868690405405]
[5996]	[0.0009095881000737131]
[2589]	[0.0009095641869187632]
[482]	[0.000908380763785322]
[972]	[0.0009077262166008148]
[7499]	[0.0009039909409813325]
[1173]	[0.0009025983140917357]
[7442]	[0.0009019213358380046]
[2369]	[0.0009000499356824422]
[5129]	[0.0008989708122118884]
[7784]	[0.0008984257423076467]
[6315]	[0.0008978741383150477]
[4255]	[0.0008974416417825857]
[4832]	[0.0008971040775619709]
[4692]	[0.0008959588270519284]
[6692]	[0.0008954554987198977]
[5998]	[0.0008949402396691706]
[5275]	[0.0008936693707344207]
[2232]	[0.0008913544330702903]
[6928]	[0.0008907116285350659]
[5376]	[0.0008903041005824668]
[1677]	[0.0008889047475494757]
[260]	[0.0008876099156665431]
[6883]	[0.0008843340150783652]
[6847]	[0.0008841227985893589]
[7702]	[0.0008831504782352118]
[1798]	[0.000882628666225929]
[4681]	[0.0008816984911977509]
[6439]	[0.0008810271563854283]
